날짜,북컨물동량,남해선(순천-부산)_김해JC-동김해IC_lag0,남해선(순천-부산)_북부산TG-김해JC_lag0,중앙선_대감JC-대동IC_lag0,부산신항선_대청IC-진해IC_lag1
2022-10-12,-3280.8599033816427,2016.7928691983116,3550.172616033755,1033.3713924050626,1450.0891089108918
2022-10-13,642.1207729468606,2086.583067226891,3632.9361344537815,454.54411764705947,2087.2999999999993
2022-10-14,2228.9951219512186,2334.27462184874,3703.491483050848,1203.9384937238501,2091.233830845771
2022-10-15,4175.4326923076915,1332.6834745762712,1957.6352542372883,689.9673640167366,1733.8457711442788
2022-10-16,-5696.1826923076915,612.8338655462184,821.9501260504202,466.8952301255231,1328.8267326732675
2022-10-17,5108.995073891625,1956.012616033755,3380.1392405063293,699.6967364016746,1889.148514851484
2022-10-18,220.14975845410663,2003.7817721518986,3652.9613080168783,837.790209205019,1586.4285714285725
2022-10-19,-5879.859903381643,1700.2628691983118,3348.682616033755,283.641392405063,1867.0891089108918
2022-10-20,2451.1207729468606,1654.443067226891,3541.3561344537816,525.3341176470585,2198.2999999999993
2022-10-21,-2461.0048780487814,1893.6846218487399,3503.1314830508472,824.2084937238506,2229.233830845771
2022-10-22,-1995.5673076923085,1385.2634745762712,1963.0052542372882,592.9573640167364,2086.845771144279
2022-10-23,-1389.1826923076915,578.9838655462185,776.9801260504202,357.3952301255231,1526.8267326732675
2022-10-24,1650.995073891625,1856.052616033755,3309.999240506329,965.1767364016741,1429.148514851484
2022-10-25,-1231.8502415458934,1949.1617721518987,3386.5013080168783,703.9502092050207,1902.4285714285725
2022-10-26,1397.1400966183573,2048.9228691983117,3324.7026160337546,626.5013924050636,2055.089108910892
2022-10-27,1186.1207729468606,1724.573067226891,3296.286134453782,195.15411764706005,1873.2999999999993
2022-10-28,511.9951219512186,1919.60462184874,3306.5214830508476,544.7484937238496,2134.233830845771
2022-10-29,1114.4326923076915,1113.6434745762713,1695.535254237288,356.06736401673606,1505.8457711442788
2022-10-30,-2593.1826923076915,438.25386554621844,623.0401260504201,156.35523012552312,798.8267326732675
2022-10-31,-5321.004926108375,1731.2526160337547,3201.659240506329,611.8567364016744,476.1485148514839
2022-11-01,1789.1497584541066,1698.9317721518983,3318.8413080168784,616.0502092050192,557.4285714285725
2022-11-02,-137.85990338164265,1733.3828691983117,3205.482616033755,327.72139240506294,1029.0891089108918
2022-11-03,3091.1207729468606,1480.693067226891,3221.4361344537815,32.75411764705859,1396.2999999999993
2022-11-04,-109.00487804878139,1565.2346218487392,3088.201483050847,181.83849372384975,1559.233830845771
2022-11-05,-594.5673076923085,636.2434745762712,1298.2152542372883,-250.08263598326357,1351.8457711442788
2022-11-06,2675.8173076923085,310.61386554621856,553.7301260504202,-46.38476987447689,940.8267326732675
2022-11-07,-1070.004926108375,1772.892616033755,3144.1792405063293,613.2567364016741,562.1485148514839
2022-11-08,-4480.850241545893,1883.4717721518982,3353.021308016878,763.6502092050196,1133.4285714285725
2022-11-09,2760.1400966183573,1728.8428691983117,3230.512616033755,636.4513924050625,1236.0891089108918
2022-11-10,-372.8792270531394,1706.1430672268907,3148.616134453782,13.874117647059393,2044.2999999999993
2022-11-11,-2171.0048780487814,1661.4946218487394,3047.581483050847,184.69849372385033,1099.233830845771
2022-11-12,824.4326923076915,592.8334745762709,1365.805254237288,-123.28263598326384,1115.8457711442788
2022-11-13,-2399.1826923076915,229.01386554621843,495.5501260504201,-101.09476987447692,1186.8267326732675
2022-11-14,1715.995073891625,1904.6226160337546,3188.369240506329,732.3567364016744,1185.148514851484
2022-11-15,-3676.8502415458934,1747.3317721518988,3325.7513080168783,553.0802092050199,1505.4285714285725
2022-11-16,-1407.8599033816427,1910.7428691983114,3354.1126160337553,705.3013924050629,1503.0891089108918
2022-11-17,3017.1207729468606,1851.203067226891,3390.956134453782,584.6941176470591,2423.2999999999993
2022-11-18,-3178.0048780487814,1943.6246218487395,3423.5714830508477,856.6184937238504,2662.233830845771
2022-11-19,2899.4326923076915,1278.653474576271,1877.9452542372883,801.6773640167366,1718.8457711442788
2022-11-20,6280.8173076923085,669.3138655462184,860.7801260504201,551.4752301255232,3001.8267326732675
2022-11-21,-1898.004926108375,2048.6226160337546,3733.549240506329,1735.7667364016743,3161.148514851484
2022-11-22,-1041.8502415458934,1608.591772151898,3796.3413080168784,1312.6502092050196,3633.4285714285725
2022-11-23,1709.1400966183573,2318.942869198311,4271.112616033755,2714.521392405064,-1735.9108910891082
2022-11-24,-4171.879227053139,246.0130672268906,2205.3061344537823,-1875.5858823529406,-1985.7000000000007
2022-11-25,-1571.0048780487814,-1118.2953781512606,1429.6314830508472,-3044.61150627615,912.2338308457711
2022-11-26,-2766.5673076923085,-96.35652542372873,939.6052542372881,-794.0226359832636,1433.8457711442788
2022-11-27,-872.1826923076915,3.7938655462185125,320.7601260504201,-308.1347698744769,-2127.1732673267325
2022-11-28,340.995073891625,-363.13738396624467,1574.209240506329,-2476.213263598326,-2538.851485148516
2022-11-29,3042.1497584541066,-491.4882278481018,1564.0413080168782,-3034.77979079498,-1971.5714285714275
2022-11-30,-386.85990338164265,-208.32713080168833,1700.222616033755,-2639.228607594937,-1637.9108910891082
2022-12-01,-2140.8792270531394,-154.88693277310904,1849.956134453782,-2580.5258823529402,-501.7000000000007
2022-12-02,-5924.004878048781,147.58462184873952,1994.081483050847,-2148.1215062761503,98.23383084577108
2022-12-03,-4989.5673076923085,225.95347457627122,1070.3652542372884,-636.7526359832636,940.8457711442788
2022-12-04,-924.1826923076915,226.76386554621843,504.0201260504201,-51.30476987447673,-145.17326732673246
2022-12-05,-372.004926108375,672.5826160337547,2320.919240506329,-1311.1932635983258,47.148514851483924
2022-12-06,-1601.8502415458934,628.8617721518985,2576.951308016878,-1094.8997907949797,793.4285714285725
2022-12-07,-6146.859903381643,1287.3228691983113,2899.092616033755,-475.1786075949367,224.0891089108918
2022-12-08,138.1207729468606,980.9530672268911,2876.336134453782,-801.3558823529402,1408.2999999999993
2022-12-09,-3534.0048780487814,1429.2146218487396,3050.951483050847,-145.10150627615076,1328.233830845771
2022-12-10,-2841.5673076923085,1160.463474576271,1894.455254237288,760.8273640167363,929.8457711442788
2022-12-11,2223.8173076923085,320.0538655462184,592.3901260504201,55.74523012552322,1397.8267326732675
2022-12-12,1742.995073891625,1897.6226160337546,3407.8492405063294,503.57673640167377,1590.148514851484
2022-12-13,-1874.8502415458934,2097.8117721518984,3631.331308016878,974.6602092050198,1298.4285714285725
2022-12-14,-736.8599033816427,2153.7928691983116,3655.772616033755,1020.3313924050635,1209.0891089108918
2022-12-15,-932.8792270531394,1939.5930672268905,3639.5561344537823,596.5941176470587,1581.2999999999993
2022-12-16,-2903.0048780487814,1959.6346218487397,3386.3614830508477,679.9184937238497,1040.233830845771
2022-12-17,3956.4326923076915,1179.3334745762709,1776.915254237288,673.937364016736,338.84577114427884
2022-12-18,-2435.1826923076915,516.6838655462185,709.5201260504201,215.2752301255232,998.8267326732675
2022-12-19,5883.995073891625,2016.5026160337547,3433.7192405063292,891.4867364016736,1491.148514851484
2022-12-20,-1039.8502415458934,2087.921772151898,3633.5413080168782,809.6402092050193,215.42857142857247
2022-12-21,5089.140096618357,1481.1728691983117,3192.422616033755,-122.72860759493597,975.0891089108918
2022-12-22,-931.8792270531394,1768.153067226891,3475.1461344537815,594.4141176470603,414.2999999999993
2022-12-23,-4022.0048780487814,1290.06462184874,2958.041483050847,-15.691506276150903,66.23383084577108
2022-12-24,-3786.5673076923085,304.4734745762712,1083.6952542372883,-354.6426359832635,186.84577114427884
2022-12-25,-766.1826923076915,208.09386554621847,463.0501260504201,-75.1247698744769,1413.8267326732675
2022-12-26,-2677.004926108375,1634.4226160337548,3241.119240506329,614.7967364016731,1319.148514851484
2022-12-27,2050.1497584541066,1620.2317721518984,3296.5513080168785,343.2302092050195,735.4285714285725
2022-12-28,3570.1400966183573,1824.1728691983117,3358.5026160337547,644.8113924050631,609.0891089108918
2022-12-29,-1761.8792270531394,1437.363067226891,3283.2361344537817,221.7641176470588,-502.7000000000007
2022-12-30,-996.0048780487814,761.0146218487398,2480.501483050847,-902.8715062761512,969.2338308457711
2022-12-31,-273.56730769230853,-293.836525423729,648.6352542372881,-1097.0226359832636,1617.8457711442788
2023-01-01,1080.8173076923085,-195.77613445378154,150.23012605042015,-557.4047698744769,-681.1732673267325
2023-01-02,1058.995073891625,1173.052616033755,2723.2192405063292,-290.6432635983256,-157.85148514851608
2023-01-03,-39.85024154589337,1675.8217721518986,3210.021308016878,431.71020920501905,-73.57142857142753
2023-01-04,-27.859903381642653,1436.1628691983115,3144.142616033755,169.09139240506374,75.08910891089181
2023-01-05,-1988.8792270531394,1484.743067226891,3224.4861344537817,69.91411764706027,482.2999999999993
2023-01-06,3889.9951219512186,1765.5946218487397,3315.7614830508473,965.8684937238504,120.23383084577108
2023-01-07,-2924.5673076923085,711.983474576271,1451.7752542372882,243.76736401673634,157.84577114427884
2023-01-08,-854.1826923076915,127.52386554621842,429.6501260504201,-141.65476987447687,1381.8267326732675
2023-01-09,434.995073891625,1931.592616033755,3449.4392405063295,919.6467364016735,1352.148514851484
